,coef
mas_vnr_type_BrkCmn,-6621.292349696751
mas_vnr_type_BrkFace,795.3679382138977
mas_vnr_type_None,1152.3283878177037
mas_vnr_type_Stone,4711.377711409918
mas_vnr_type_no_vnr,-53.34775131544984
foundation_BrkTil,-528.902515264798
foundation_CBlock,694.2928526642268
foundation_PConc,2300.2532703213947
foundation_Slab,-7533.78429029773
foundation_Stone,-1322.4680208534066
foundation_Wood,6375.042639859975
heating_GasA,5242.373009503857
heating_GasW,3543.383541421846
heating_Grav,-2.6326716990612993
heating_OthW,-10853.46469830441
heating_Wall,2054.7747555063747
central_air_N,94.91299316154922
central_air_Y,-110.47905673219897
garage_type_2Types,-6387.879764440653
garage_type_Attchd,4938.437650423269
garage_type_Basment,-1740.669720645448
garage_type_BuiltIn,6993.239083636856
garage_type_CarPort,-7991.368905273763
garage_type_Detchd,2547.502401840938
garage_type_no_garage,1625.173190888404
paved_drive_N,-1066.3031615951754
paved_drive_P,-1077.2844202769575
paved_drive_Y,2128.021518301307
misc_feature_Gar2,2746.5869182701003
misc_feature_Othr,7991.451254300001
misc_feature_Shed,1272.646985488337
misc_feature_TenC,-10972.631896329965
misc_feature_no_misc_feature,-1053.6193252988614
sale_type_COD,-4161.463008242086
sale_type_CWD,-372.3242182285632
sale_type_Con,8306.653984575343
sale_type_ConLD,3826.3098225736944
sale_type_ConLI,-6015.92982270794
sale_type_ConLw,-4162.845966051524
sale_type_New,4737.27208491568
sale_type_Oth,27.23723714730251
sale_type_WD ,-2200.476177552334
lot_shape_IR1,1014.1443368175817
lot_shape_IR2,5045.053725914617
lot_shape_IR3,-7646.26972487652
lot_shape_Reg,1571.5055985735464
utilities_AllPub,4758.104149661904
utilities_NoSewr,-4773.670213232596
land_slope_Gtl,-1378.3267343434409
land_slope_Mod,-2197.089855575867
land_slope_Sev,3559.8505263486145
overall_qual_1,-13640.813876666478
overall_qual_2,-12716.268554294047
overall_qual_3,-14748.70933016318
overall_qual_4,-17248.050772540064
overall_qual_5,-14135.634786502837
overall_qual_6,-11823.089398994744
overall_qual_7,-4562.4010320434945
overall_qual_8,10934.119610868976
overall_qual_9,36309.86393801029
overall_qual_10,41615.41813875172
overall_cond_1,-16443.647366253037
overall_cond_2,1612.9080878976729
overall_cond_3,-20068.731511760743
overall_cond_4,-6876.60434272152
overall_cond_5,801.786820547105
overall_cond_6,6281.266340143286
overall_cond_7,9035.772948595093
overall_cond_8,12403.16604771411
overall_cond_9,13238.516912268207
exter_qual_Ex,20132.279390160573
exter_qual_Fa,-6535.342809216184
exter_qual_Gd,-4660.820959088328
exter_qual_TA,-8951.681685426192
exter_cond_Ex,5555.8973907667805
exter_cond_Fa,2068.744220672358
exter_cond_Gd,1080.6834763786283
exter_cond_Po,-11734.3252602718
exter_cond_TA,3013.4341088830906
bsmt_qual_Ex,9418.84474975483
bsmt_qual_Fa,-411.7091946435478
bsmt_qual_Gd,-4279.957570767143
bsmt_qual_Po,-873.4718728844424
bsmt_qual_TA,-4745.273171954121
bsmt_qual_no_basement,876.0009969233599
bsmt_cond_Ex,-5092.324603986397
bsmt_cond_Fa,-1057.148871286981
bsmt_cond_Gd,3362.3687478998554
bsmt_cond_Po,25.475260273034127
bsmt_cond_TA,1870.0624066061519
bsmt_cond_no_basement,876.0009969233599
bsmt_exposure_Av,1402.1359986221833
bsmt_exposure_Gd,12859.921828216438
bsmt_exposure_Mn,-2579.213398341382
bsmt_exposure_No,-3484.787931744729
bsmt_exposure_no_basement,-8213.622560323223
bsmtfin_type_1_ALQ,1325.1151812632968
bsmtfin_type_1_BLQ,-507.21035056007156
bsmtfin_type_1_GLQ,4707.835242298116
bsmtfin_type_1_LwQ,-2040.096145583964
bsmtfin_type_1_Rec,-1242.8194853333885
bsmtfin_type_1_Unf,-3134.3915025777283
bsmtfin_type_1_no_basement,876.0009969233599
bsmtfin_type_2_ALQ,624.6458087006479
bsmtfin_type_2_BLQ,-130.07593680345363
bsmtfin_type_2_GLQ,8764.336280252128
bsmtfin_type_2_LwQ,-2509.6444703758543
bsmtfin_type_2_Rec,-3628.0624935657497
bsmtfin_type_2_Unf,-2113.8281258561974
bsmtfin_type_2_no_basement,-1022.9371259226335
heating_qc_Ex,5282.444365829705
heating_qc_Fa,2654.606423476464
heating_qc_Gd,4469.83605290787
heating_qc_Po,-15412.235089998694
heating_qc_TA,2989.782184214204
electrical_FuseA,-1114.502950608781
electrical_FuseF,1544.6753594049499
electrical_FuseP,1368.6649036311683
electrical_SBrkr,-1814.40337599785
kitchen_qual_Ex,14202.945722470944
kitchen_qual_Fa,-7967.771499169127
kitchen_qual_Gd,-2132.5487663729373
kitchen_qual_TA,-4118.191520499556
functional_Maj1,-9171.986125630723
functional_Maj2,4839.144867782066
functional_Min1,7099.656583917897
functional_Min2,7296.658690618397
functional_Mod,-3184.766830476669
functional_Sal,-11971.94559462852
functional_Sev,-10977.60073126697
functional_Typ,16055.27307611403
fireplace_qu_Ex,5663.343552240324
fireplace_qu_Fa,-3393.8815653433626
fireplace_qu_Gd,1611.096371527138
fireplace_qu_Po,-3345.5166974822896
fireplace_qu_TA,497.06783318495127
fireplace_qu_no_fireplace,-1047.6755576972873
garage_finish_Fin,-27.330884992844755
garage_finish_RFn,-1543.6140401000177
garage_finish_Unf,-69.7943293661308
garage_finish_no_garage,1625.173190888404
garage_qual_Ex,7160.531102837261
garage_qual_Fa,-6476.113362138965
garage_qual_Gd,15136.218633414332
garage_qual_Po,-10977.725156596212
garage_qual_TA,-6483.650471975057
garage_qual_no_garage,1625.173190888404
garage_cond_Ex,-3817.1121317453335
garage_cond_Fa,1657.6761247571571
garage_cond_Gd,-3220.2775869163397
garage_cond_Po,-238.52429746632498
garage_cond_TA,3977.498636911542
garage_cond_no_garage,1625.173190888404
pool_qc_Ex,10977.64323458228
pool_qc_Fa,-74.87345565948914
pool_qc_Gd,10.580209606978375
pool_qc_TA,-393.4629624848681
pool_qc_no_pool,-10535.453089615543
fence_GdPrv,1551.9886289021858
fence_GdWo,1399.9003087924136
fence_MnPrv,1126.2998310207902
fence_MnWw,-5073.777963463856
fence_no_fence,980.0231311777776
